CUAM China-Hong Kong Strategy A,E Fund (HK) China Equity Div,Allianz Global Artfcl Intlgc AT,Franklin Technology A Acc HKD,Da Cheng Overseas China Concept,Harvest China Equity A HKD Acc,Franklin Biotechnology Discv A,Da Cheng China Balanced A (HKD),Janus Henderson Balanced A2 HKD,Bosera Orient Sun Rise Grt CNH,ChinaAMC Select Fixed Inc Allc,Allianz Income and Growth AM HK,Franklin US Government A(acc)HK,E Fund (HK) HKD Mny Mkt B HKD A,AB SICAV I Low Volatility Eq A,Templeton Em Mkts Dyn Inc A MDi,CSOP Select US Dollar Bd A HKD,E Fund (HK) Select Asia HY Bd A,Allianz US Short Dur Hi Inc Bd,AB Global High Yield AA HKD Inc,Harvest China A Research Select
62.75723232925737,47.62433827854389,61.856540084388186,56.44834571235652,41.39821795750513,37.23170454952641,32.414126753749386,22.05044751830758,10.227874933757285,6.417624521072797,4.420145988285376,4.86358244365362,1.7573221757322248,1.3972628959708986,1.3715551390722829,-3.3218785796105488,-2.35096557514693,-6.328923631990376,-6.66666666666667,-11.511758118701009,45.674833044312436
63.442229881612455,45.470040645076715,59.86452159187128,48.67316090023513,36.86382393397524,36.79525756140834,25.38910505836577,22.532894736842106,7.566137566137566,6.321839080459772,4.197440657213955,3.0842230130486334,1.335559265442405,1.4010812005489803,-1.5698387847501407,-4.257767548906781,-3.022670025188912,-6.728766025641029,-7.076923076923071,-12.377012522361353,44.05600855993801
66.07224508459078,45.461815273890444,60.00000000000001,47.47134187457856,39.80309423347397,38.14273117037127,21.942967617206374,22.03811101905551,6.408898305084751,6.124401913875604,4.24428596827404,3.592814371257494,1.335559265442405,1.4156045109873436,-3.202106425446975,-3.7079953650057966,-3.022670025188912,-6.927626303127507,-7.179487179487173,-12.511210762331833,42.69730288159981
66.88625047874378,43.33154434455924,62.80851063829786,49.198225861480715,38.983050847457626,37.89131194049056,25.012382367508653,22.73489932885907,6.230031948881779,6.2260536398467465,4.240418806795728,2.51497005988025,1.3366750208855482,1.4177523995997312,-4.302034229413511,-3.61726954492416,-3.1040268456375775,-7.027541311967949,-7.487179487179492,-12.668161434977575,41.002841013909894
69.58125240107569,47.624510730193,64.66552315608918,52.131258457374834,43.3854907539118,41.53250017022278,26.88118811881188,24.056999161777043,6.850770047796086,6.423777564717162,4.250486376519624,3.70370370370371,1.3377926421404545,1.421871576582882,-3.5488925591834986,-2.913752913752914,-3.1040268456375775,-7.090999999999995,-7.5819672131147575,-12.364812130672322,44.02925875364351
68.90337423312884,44.90631925324021,65.30264279624893,51.55555555555555,40.69602272727272,40.0983487503308,26.054590570719604,22.974101921470343,6.666666666666667,6.724303554274729,4.260928813358497,3.70370370370371,1.4225941422594137,1.4261885727257517,-3.33262214636228,-3.608847497089645,-3.1040268456375775,,-6.864754098360656,-12.454090150250416,41.77305095376896
66.11481566643671,43.147003493684494,69.65217391304348,55.06607929515417,40.796019900497505,38.451568305538764,30.554168746879668,22.10175145954963,9.173333333333327,6.826923076923069,4.328799059558033,5.734767025089611,1.5075376884422087,1.4307048306398955,-0.25628977830935146,-2.444703143189745,-3.022670025188912,,-6.25641025641025,-11.77453492257992,40.12932147732723
67.20691518098323,43.97056819730208,75.19858781994705,55.21262002743483,42.485549132947966,39.354283361818375,31.76291793313072,23.781512605042018,9.523809523809511,6.724303554274729,4.31262849913017,6.626506024096372,1.5075376884422087,1.4429673972489108,0.40781283537240487,-2.453271028037393,-3.6697247706421976,,-5.852156057494869,-11.822331069798514,40.01033095967236
67.50425235812588,43.637846655791186,79.1666666666667,59.309153713298784,42.898550724637666,40.38670596145507,33.96130346232178,24.303797468354436,11.218464841653248,6.724303554274729,4.296133776091094,7.4879227053140225,1.5075376884422087,1.448175096008607,2.049233148601616,-1.639344262295068,-3.7499999999999942,,-5.852156057494869,-11.566748384221079,40.01033095967236
73.05529522024368,45.95897853844063,76.41764176417644,61.845827439886854,45.454545454545446,43.46477541371158,33.75828658847527,25.105307497893858,11.296395911780534,6.724303554274729,4.275184760700317,7.738814993954058,1.5062761506276277,1.4522973151751664,1.997239237339313,-1.7584994138335122,-3.7499999999999942,,-5.2361396303901415,-11.636201515827015,43.34206545400878
