CUAM China-Hong Kong Strategy A,E Fund (HK) China Equity Div,Allianz Global Artfcl Intlgc AT,Franklin Technology A Acc HKD,Da Cheng Overseas China Concept,Harvest China Equity A HKD Acc,Franklin Biotechnology Discv A,Da Cheng China Balanced A (HKD),Janus Henderson Balanced A2 HKD,Bosera Orient Sun Rise Grt CNH,ChinaAMC Select Fixed Inc Allc,Allianz Income and Growth AM HK,Franklin US Government A(acc)HK,E Fund (HK) HKD Mny Mkt B HKD A,AB SICAV I Low Volatility Eq A,Templeton Em Mkts Dyn Inc A MDi,CSOP Select US Dollar Bd A HKD,E Fund (HK) Select Asia HY Bd A,Allianz US Short Dur Hi Inc Bd,AB Global High Yield AA HKD Inc,Harvest China Income A HKD Inc,Harvest China A Research Select,E Fund (HK) Grtr Chn Leaders A
3.5383958639662394,4.724372942649172,5.791505791505796,6.996074809512817,5.524296675191807,3.1480051711135744,11.8512464241929,4.022191400832178,1.167315175097286,-0.8035714285714274,0.45802687344393994,0.4545454545454448,0.16474464579900802,0.061241220306761594,1.2421831794784601,1.442307692307683,-0.5982905982905856,-1.846192621530508,-1.8338727076591148,-1.2990257307019812,-0.41235098690638755,2.857198681793907,4.704743465634075
1.4794138171667728,1.056562528463427,-1.4613778705636802,-0.11284134506884283,0.7085020242914828,0.36015514375424,4.626623376623379,2.2649279341111876,-1.9768563162970114,-0.8042895442359237,0.18037346801219067,-3.551609322974476,-0.08230452674896943,0.06055997530867293,-2.038238019034786,-0.23980815347721313,-1.28205128205127,-2.3489440238249983,-2.3706896551724017,-2.3913314235894902,-0.8861908433452741,0.1307943835353002,1.5789974317511755
0.2576370997423672,-3.3303808680248053,-2.3883696780893087,-6.338329764453963,-1.632855022266214,-1.2730133342605319,-0.8644400785854572,0.13596193065941245,-5.325164938737037,-0.7162041181736801,0.22221167086083787,-4.314159292035385,-0.08230452674896943,0.06017087359734568,-6.78090875628808,-1.4234875444839765,-0.6878761822871888,-2.599473391588946,-2.373247033441196,-2.983590253605161,-1.2291320902079472,-1.9694694218960922,-1.6584823496710888
0.632794457274829,-3.1373260189508945,3.8545059717698003,-3.5722160970231633,-2.040816326530613,-1.7519962628736603,0.07930214115780958,-0.06830601092896028,-4.545454545454542,-0.7162041181736801,0.40721183578326176,-4.25055928411632,0.0,0.05910113694229712,-6.513441752406235,-2.2485207100591658,-0.6878761822871888,-2.054230850390381,-2.4864864864864913,-2.9887920298879096,-1.0940167585706244,-3.1654430163244793,-0.1423420003795706
1.944572748267912,-0.8251348778165631,4.234527687296404,-0.8379272326350663,0.34843205574913033,-0.1759418125935882,1.6256938937351315,1.092896174863389,-3.7320574162679314,-0.6266786034019721,0.4357547214690057,-2.908277404921698,-0.08244023083265921,0.05803011139637158,-5.513607699966807,-1.420118343195257,-0.6878761822871888,-1.9740451572061564,-2.4864864864864913,-2.117061021170614,-1.0724307776840238,-1.0870322625600877,2.125640539001717
1.7321016166281757,-2.171646189418322,5.2660152008686145,-2.249173098125696,-1.3937282229965213,-0.6186341152484367,0.7137192704203003,0.5464480874316945,-4.3062200956937735,-0.35874439461884233,0.45573474144902976,-2.908277404921698,-0.08244023083265921,0.057153817767923276,-6.015599070693661,-2.0118343195266264,-0.6878761822871888,-1.8769782654568437,-1.7297297297297312,-2.042341220423413,-1.0488824348986465,-2.636496664787362,0.4554944012146555
1.6175918979744883,-3.409193943240552,5.802603036876357,1.9835079117450427,-0.5522088353413804,-1.688185332246445,4.516386890487606,2.0209059233449542,-1.5865384615384703,-0.4480286738351318,0.536902529344008,-0.673400673400679,0.0,0.05686199671291507,-2.8377647401489705,-0.238095238095233,-1.28205128205127,-1.5169453899659637,-1.0822510822510785,-1.1606140022463405,-0.6659911660256035,-0.9415692385938984,-0.4478749761768619
2.42046045478183,-2.5096881343421287,10.277777777777786,0.4661487236404015,0.0,-0.9255112041401958,3.7909018355945845,3.5137034434293746,-1.5392015392015406,-0.26929982046679657,0.44544701750379356,-0.1128668171557538,0.0,0.054233419860143635,-2.9017393831209186,-1.1834319526627177,-1.28205128205127,-1.5032264889453153,-0.6500541711809371,-1.160469178936869,-0.4421684967255877,0.05603053334476441,0.9374697980090837
6.070991432068536,0.3323521033140199,10.688304420817012,7.731838355524399,2.8154327424400374,1.5573859917084822,3.664302600472812,3.8787023977433055,1.1224987798926327,-0.26929982046679657,0.5612624116178583,1.8306636155606424,-0.08244023083265921,0.057058674038207184,0.22784810126581942,1.3268998793727529,-1.28205128205127,-1.8975871878621873,-0.21762785636561016,-0.5887510960791669,-0.08795770124030107,0.2701827862517392,4.1379998005783145
8.484700122399024,2.036843604595951,9.681029658645778,6.914272366269565,3.441084462982274,3.448887191795762,3.3490937746256955,4.724964739069112,0.9760858955588231,-0.26929982046679657,0.5688856701797298,1.9450800915331798,0.0,0.05598760677810753,-0.232067510548528,1.085645355850442,-1.28205128205127,-1.1790116952902747,0.4352557127312397,-0.6889640486032784,0.18678657903838805,2.656246903467466,5.075281683118944
9.25826193390452,2.862975975690818,9.513150531617232,7.521607101144589,4.223149113660056,3.869826896501566,2.1276595744680957,5.641748942172079,0.8296730112249961,-0.26954177897575143,0.563168226258322,2.2883295194507927,-0.08244023083265921,0.055013909268924015,0.06329113924050873,1.2062726176115974,-1.28205128205127,-1.1537245811821715,0.5440696409140447,-0.6889640486032784,0.2282947077135885,3.983379464787059,6.431349087645815
